Sidebar item,Item key,Name,Raw key,User value,Unit
Demand,Energy demand non-residential buildings,Lighting,buildings_lighting_led_electricity_share,,%
Demand,Energy demand non-residential buildings,Lighting,buildings_lighting_savings_from_daylight_control_light,,%
Demand,Energy demand non-residential buildings,Lighting,buildings_lighting_savings_from_motion_detection_light,,%
Demand,Energy demand non-residential buildings,Lighting,buildings_lighting_standard_fluorescent_electricity_share,,%
Demand,Energy demand non-residential buildings,Building stock,buildings_number_of_buildings_future,,#
Demand,Energy demand non-residential buildings,Building stock,buildings_number_of_buildings_present,,#
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_combined_hydrogen_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_district_heating_ht_steam_hot_water_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_district_heating_lt_steam_hot_water_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_district_heating_mt_steam_hot_water_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_electricity_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_heatpump_air_water_electricity_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_heatpump_air_water_network_gas_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_network_gas_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_solar_thermal_share,,%
Demand,Energy demand non-residential buildings,Space heating,buildings_space_heater_wood_pellets_share,,%
Demand,Energy demand non-residential buildings,Development of demand,buildings_useful_demand_cooling,,%
Demand,Energy demand non-residential buildings,Development of demand,buildings_useful_demand_electricity,,%
Demand,Energy demand non-residential buildings,Appliances,buildings_useful_demand_for_appliances,,%
Demand,International transport,International transport,bunkers_allocated_percentage_aviation,,%
Demand,International transport,International transport,bunkers_allocated_percentage_shipping,,%
Demand,International transport,International aviation technology,bunkers_aviation_using_electricity_share,,%
Demand,International transport,International aviation technology,bunkers_aviation_using_hydrogen_share,,%
Demand,International transport,International aviation technology,bunkers_aviation_using_kerosene_mix_share,,%
Supply,Transport fuels,International aviation,bunkers_plane_using_bio_kerosene_share,,%
Supply,Transport fuels,International aviation,bunkers_plane_using_kerosene_share,,%
Demand,International transport,International navigation technology,bunkers_ship_using_ammonia_share,,%
Demand,International transport,International navigation technology,bunkers_ship_using_electricity_share,,%
Demand,International transport,International navigation technology,bunkers_ship_using_heavy_fuel_oil_share,,%
Demand,International transport,International navigation technology,bunkers_ship_using_hydrogen_share,,%
Demand,International transport,International navigation technology,bunkers_ship_using_lng_share,,%
Demand,International transport,Mobility growth,bunkers_useful_demand_planes,,%
